dataset,rho,horizon,model,test_run_id,accuracy,precision_congested,recall_congested,f1_congested,n_test,congestion_rate,accuracy_std,precision_congested_std,recall_congested_std,f1_congested_std,n_test_runs
history_only,0.3,short,Naive (always 'not congested'),25,0.9095876017861834,0.0,0.0,0.0,19035.0,0.09041239821381665,,,,,
history_only,0.3,short,Naive (persistence),25,0.8528500131337011,0.18822170900692842,0.189424753050552,0.18882131479872574,19035.0,0.09041239821381665,,,,,
history_only,0.3,short,Logistic Regression,25,0.9095350669818755,0.48936170212765956,0.01336432306798373,0.026018099547511313,19035.0,0.09041239821381665,,,,,
history_only,0.3,short,Random Forest,25,0.9095350669818755,0.4827586206896552,0.008134805345729227,0.016,19035.0,0.09041239821381665,,,,,
history_only,0.3,short,Naive (always 'not congested'),26,0.9108890057864282,0.0,0.0,0.0,19010.0,0.0891109942135718,,,,,
history_only,0.3,short,Naive (persistence),26,0.8537085744345082,0.1785925487876996,0.1782762691853601,0.17843426883308716,19010.0,0.0891109942135718,,,,,
history_only,0.3,short,Logistic Regression,26,0.911572856391373,0.6326530612244898,0.01829988193624557,0.03557085484796328,19010.0,0.0891109942135718,,,,,
history_only,0.3,short,Random Forest,26,0.9113098369279327,0.625,0.011806375442739079,0.023174971031286212,19010.0,0.0891109942135718,,,,,
history_only,0.3,short,Naive (always 'not congested'),27,0.9097153043569444,0.0,0.0,0.0,19073.0,0.09028469564305563,,,,,
history_only,0.3,short,Naive (persistence),27,0.8549782414932103,0.19826589595375724,0.1991869918699187,0.19872537659327927,19073.0,0.09028469564305563,,,,,
history_only,0.3,short,Logistic Regression,27,0.909925024904315,0.5344827586206896,0.018002322880371662,0.0348314606741573,19073.0,0.09028469564305563,,,,,
history_only,0.3,short,Random Forest,27,0.9098201646306296,0.5227272727272727,0.013356562137049941,0.026047565118912798,19073.0,0.09028469564305563,,,,,
history_only,0.3,short,Naive (always 'not congested'),28,0.9154425314589586,0.0,0.0,0.0,18993.0,0.08455746854104143,,,,,
history_only,0.3,short,Naive (persistence),28,0.8582635707892381,0.1623134328358209,0.16251556662515568,0.1624144368388301,18993.0,0.08455746854104143,,,,,
history_only,0.3,short,Logistic Regression,28,0.9149160216922024,0.1875,0.0018679950186799503,0.0036991368680641184,18993.0,0.08455746854104143,,,,,
history_only,0.3,short,Random Forest,28,0.9152319275522561,0.25,0.0012453300124533001,0.0024783147459727386,18993.0,0.08455746854104143,,,,,
history_only,0.3,short,Naive (always 'not congested'),29,0.906645485835319,0.0,0.0,0.0,18885.0,0.09335451416468096,,,,,
history_only,0.3,short,Naive (persistence),29,0.843155943870797,0.16339135317237508,0.1650595575723199,0.16422121896162528,18885.0,0.09335451416468096,,,,,
